Key,Source,Context,Max Line Width,English,Francais,German
radiatorDesc,items,Item,,Brass objects can be scrapped into scrap brass in your backpack or smelted in a forge as a core resource.,,
fishingWeight,items,Item,,Lead Fishing Weight,,
fishingWeightDesc,items,Item,,Lead objects can be scrapped into scrap lead in your backpack or smelted in a forge as a core resource.,,
crushedSand,items,Item,,Crushed Sand,,
crushedSandDesc,items,Item,,Crushed sand is a core resource that can be smelted in the forge to make glass and used to crafted items from your backpack.,,
cookingGrill,items,Item,,Cooking Grill,,
cookingGrillDesc,items,Item,,"A cooking utensil used in the campfire or oven to unlock recipes.",,
pistolRepairGear,items,Item,,Pistol Repair Gear,,
pistolRepairGearDesc,items,Item,,"Repair Gear. Make it to repair Pistols.",,
smgRepairGear,items,Item,,SMG Repair Gear,,
smgRepairGearDesc,items,Item,,"Repair Gear. Make it to repair SMGs.",,
shotgunRepairGear,items,Item,,Shotgun Repair Gear,,
shotgunRepairGearDesc,items,Item,,"Repair Gear. Make it to repair Shotguns.",,
aRifleRepairGear,items,Item,,aRifle Repair Gear,,
aRifleRepairGearDesc,items,Item,,"Repair Gear. Make it to repair Assault Rifles.",,
sRifleRepairGear,items,Item,,sRifle Repair Gear,,
sRifleRepairGearDesc,items,Item,,"Repair Gear. Make it to repair Sniper Rifles.",,
machineGunRepairGear,items,Item,,Machine Gun Repair Gear,,
machineGunRepairGearDesc,items,Item,,"Repair Gear. Make it to repair Machine Guns.",,
oldCan,items,Item Food,,Old Can,,
oldCanDesc,items,Item Food,,A really old Can. It will take away the hunger but there's a risk that comes with it.,,
woodenBarrels,items,Item Food,,Wooden Barrels,,
woodenBarrelsDesc,items,Item Food,,Using for production alcohol.,,
canBomb,items,Item,,Bomb of Canned,,
canBombDesc,items,Item,,"Handmade bomb. Simple, junkly, but dangerosly.",,
spearWooden,items,Item,,Wooden Spear,,
spearWoodenDesc,items,Item,,"Stick with sharpned tip.",,
spearStone,items,Item,,Stone Spear,,
spearStoneDesc,items,Item,,"Improved woden spear by adding stone tip.",,
spearBronze,items,Item,,Bronze Spear,,
spearBronzeDesc,items,Item,,"Like in old time. You, Prey and youre spear.",,
spearIron,items,Item,,Iron Spear,,
spearIronDesc,items,Item,,"Strong and powerful weapon.",,
carrotSeedPocket,items,Item,,Pocket of Carrot,,
wheatSeedPocket,items,Item,,Pocket of Wheat,,
cottonSeedPocket,items,Item,,Pocket of Cotton,,
chrysanthemumSeedPocket,items,Item,,Pocket of Chrysanthemum,,
aloeSeedPocket,items,Item,,Pocket of Aloe,,
yuccaSeedPocket,items,Item,,Pocket of Yucca,,
cucumberSeedPocket,items,Item,,Pocket of Cucumber,,
grapeSeedPocket,items,Item,,Pocket of Grape,,
beetSeedPocket,items,Item,,Pocket of Beet,,
appleSeedPocket,items,Item,,Pocket of Apple,,
strawberriesSeedPocket,items,Item,,Pocket of Strawberries,,
tomatoSeedPocket,items,Item,,Pocket of Tomato,,
potatoSeedPocket,items,Item,,Pocket of Potato,,
blueberriesSeedPocket,items,Item,,Pocket of Blueberries,,
goldenrodSeedPocket,items,Item,,Pocket of Goldenrod,,
mushroomSporesPocket,items,Item,,Pocket of Mushroom,,
cornSeedPocket,items,Item,,Pocket of Corn,,
seedPocketDesc,items,Item,,"A pocket whith some amout of seeds",,
nailBox,items,Item,,Nail Box,,
nailBoxDesc,items,Item,,"A box whith some amout of nail",,
breadSlice,items,Item,,Bread Slice,,
breadSliceDesc,items,Item,,"A piece of bread.",,
redTeaSweet,items,Item,,Sweet Red Tea,,
redTeaSweetDesc,items,Item,,"An ancient Chinese secret, Sweet red tea is known for it's natural cooling, stamina and re-hydration effects.",,
coltPython,items,Item Gun,,Colt Python,,
coltPythonDesc,items,Item Gun,,It's the most powerful but makes the most noise. Uses 10.9x32.6mm Bullet, 10.9x32.6mm Flame and 10.9x32.6mm Exploding.,,
coltPythonCylinder,items,Item Gun,,Colt Python Cylinder,,
coltPythonFrame,items,Item Gun,,Colt Python Frame,,
coltPythonGrip,items,Item Gun,,Colt Python Grip,,
coltPythonParts,items,Item Gun,,Colt Python Parts,,
coltPythonPartsDesc,items,Item Gun,,A part of the Colt Python. Assemble with other parts to create a complete revolver once you've read the schematic.,,
coltPythonSchematics,items,Item Book,,Colt Python Schematic,,
coltPythonSchematicsDesc,items,Item Book,,Learn to make Colt Python by reading this schematic.,,
paperStrips,items,Item,,Paper Strips,,
paperStripsDesc,items,Item,,"Paper can be used with other ingredients to make shotgun ammo, blunderbuss ammo, TNT and more.",,
ilmeniterutile,items,Item,,Ilmenorutile,,
ilmeniterutileDesc,items,Item,,"A rock wich have some titanium.",,
toolAndDieSetSchematics,items,Item,,Tool And Die Schematics,,
toolAndDieSetSchematicsDesc,items,Item,,Learn to make Tool And Die Set by reading this schematic.,,
tomatoJuice,items,Item,,Tomato Juice,,
tomatoJuiceDesc,items,Item,,"Juice can cool you, hydrate you, and give you the stamina of a sexual tyrannosaurus.",,
cornPorridge,items,Item,,Corn Porridge,,
cornPorridgeDesc,items,Item,,"Porridge a Simple food for sirvivor.",,
wheatPorridge,items,Item,,Wheat Porridge,,
wheatPorridgeDesc,items,Item,,"Porridge a Simple food for sirvivor.",,
titaniumMeltingPot,items,Item,,Titanium Melting Pot,,
titaniumMeltingPotDesc,items,Item,,A pot with ingredients for smelting it into titanium.,,
nitroglycerine,items,Item,,Nitroglycerine,,
nitroglycerineDesc,items,Item,,Do Not shake it!.,,
militariRation1,items,Item,,Militari Ration,,
militariRation2,items,Item,,Militari Ration,,
birchSeedPocket,items,Item,,Pocket of Birch,,
birchSeedPocketDesc,items,Item,,"A pocket whith some amout of seeds",,
tortilla,items,Item Food,,Tortilla,,
tortillaDesc,items,Item,,"A corn pancake",,
spoon,items,Item,,Spoon,,
partsNailgun_battery,items,Part,KeyTrunk FrNone GrNone KgNone SpNone,Rechargeable Battery,,,,
partsNailgun_frame,items,Part,KeyTrunk FrNone GrNone KgNone SpNone,Nailgun Frame,,,,
partsNailgun_frameDesc,items,Part,KeyTrunk FrNone GrNone KgNone SpNone,A nailgun frame can be scrapped to plastics.,,,,
partsNailgun_parts,items,Part,KeyTrunk FrNone GrNone KgNone SpNone,Nailgun Parts,,,,
partsNailgun_partsDesc,items,Part,KeyTrunk FrNone GrNone KgNone SpNone,Nailgun parts can be scrapped into mechanical parts.,,,,
partsNailgun_receiver,items,Part,KeyTrunk FrNone GrNone KgNone SpNone,Nailgun Receiver,,,,
partsNailgun_receiverDesc,items,Part,KeyTrunk FrNone GrNone KgNone SpNone,A nailgun receiver can be scrapped into mechanical parts.,,,,
partsNailgunGroupDesc,items,Part,KeyTrunk FrNone GrNone KgNone SpNone,A part of the nailgun. Assemble with other parts to create a complete nailgun once you've read the nailgun book.,,,,
cactusFlesh,items,Item,,Cactus Flesh,,
cactusFleshDesc,items,Item,,"Eat it to restore some food and water.",,
heavyBanditBoots,items,Clothes,KeyTrunk FrNone GrNone KgNone SpNone,Heavy Bandit Boots,,,,
heavyBanditChestArmor,items,Clothes,KeyTrunk FrNone GrNone KgNone SpNone,Heavy Bandit Chest Armor,,,,
heavyBanditGasmask,items,Clothes,KeyTrunk FrNone GrNone KgNone SpNone,Heavy Bandit Gasmask,,,,
heavyBanditGloves,items,Clothes,KeyTrunk FrNone GrNone KgNone SpNone,Heavy Bandit Gloves,,,,
heavyBanditLegArmor,items,Clothes,KeyTrunk FrNone GrNone KgNone SpNone,Heavy Bandit Leg Armor,,,,
banditArmorGroupDesc,items,Clothes,KeyTrunk FrNone GrNone KgNone SpNone,It may look like junk but it was worn by a survivor so it clearly works.,,,,
nerdGlasses,items,Clothes,,Strong Glasses,,Starke Brille,,
facialPiercings,items,Clothes,,Facial Piercings,,Gesichtspiercings,,
facialPiercingsDesc,items,Clothes,,The risk of infection is not enough of a challenge? Try putting piercings of questionable origin into your skin!,,Wenn das normale Infektionsrisiko keine Herausforderung mehr ist - versuchs mit Piercings fragwürdiger Herkunft!,,
hoodedSweatshirtWhite,items,Clothes,,White Hooded Sweatshirt,,Weißer Kapuzenpulli,,
hoodedSweatshirtBlack,items,Clothes,,Black Hooded Sweatshirt,,Schwarzer Kapuzenpulli,,
hoodedSweatshirtBlue,items,Clothes,,Blue Hooded Sweatshirt,,Blauer Kapuzenpulli,,
hoodedSweatshirtBrown,items,Clothes,,Brown Hooded Sweatshirt,,Brauner Kapuzenpulli,,
hoodedSweatshirtGreen,items,Clothes,,Green Hooded Sweatshirt,,Grüner Kapuzenpulli,,
hoodedSweatshirtRed,items,Clothes,,Red Hooded Sweatshirt,,Roter Kapuzenpulli,,
shirtClothesGroupDesc,items,Clothes,KgNone,Get a little protection against the weather and other damage types with this fine cotton shirt.,Portez cette jolie chemise en coton pour vous protéger contre les intempéries et autres sortes de dégâts.,Erhalte mit diesem Baumwollhemd etwas Schutz gegen die Witterungen und andere Schadensarten.,,Obtén un poco de protección contra el clima y otros tipos de daño con esta camisa de algodón.
pressboyCapWhite,items,Clothes,,White Press Boy Cap,,,,
pressboyCapBlack,items,Clothes,,Black Press Boy Cap,,,,
pressboyCapBlue,items,Clothes,,Blue Press Boy Cap,,,,
pressboyCapBrown,items,Clothes,,Brown Press Boy Cap,,,,
pressboyCapGreen,items,Clothes,,Green Press Boy Cap,,,,
pressboyCapRed,items,Clothes,,Red Press Boy Cap,,,,
denimShortsPants,items,Clothes,,White Shorts,,,,
denimShortsPantsRed,items,Clothes,,Red Shorts,,,,
denimShortsPantsBrown,items,Clothes,,Brown Shorts,,,,
denimShortsPantsGreen,items,Clothes,,Green Shorts,,,,
denimShortsPantsBlue,items,Clothes,,Blue Shorts,,,,
denimShortsPantsBlack,items,Clothes,,Black Shorts,,,,
jacketBlack,items,Clothes,,Black Jacket,,,,
jacketWhite,items,Clothes,,White Jacket,,,,
skirt,items,Clothes,,White Skirt,,,,
skirtRed,items,Clothes,,Red Skirt,,,,
skirtBrown,items,Clothes,,Brown Skirt,,,,
skirtGreen,items,Clothes,,Green Skirt,,,,
skirtBlue,items,Clothes,,Blue Skirt,,,,
skirtBlack,items,Clothes,,Black Skirt,,,,
leatherHoodBlack,items,Clothes,,Black Leather Hood,,,,
jacketGroupDesc,items,Clothes,,A jacket will keep you warm in cold environments.,,Mit dieser Jacke wird dir nicht so schnell kalt.,,
shadesBlack,items,Clothes,,Black Shades,,Schwarze Sonnenbrille,,
runningShoes,items,Clothes,,Running Shoes,,Laufschuhe,,
jacketLetter,items,Clothes,,College Jacket,,Collegejacke,,
gothBootsBlack,items,Clothes,,Black Goth Boots,,Schwarze Goth-Stiefel,,
gothicPants,items,Clothes,,Black Goth Pants,,Schwarze Goth-Hosen,,
denimClothesGroupDesc,items,Clothes,KgNone,Be really comfortable & get a little protection against the weather and other damage types in this fine denim apparel.,Portez ces vêtements en jean pour vous sentir à l'aise et vous protéger contre les intempéries et d'autres sortes de dégâts.,Denim-Kleidung sitzt perfekt und schützt etwas vor der Witterung und anderen Schadensarten.,,Siéntete completamente cómodo al tiempo que te proteges un poco del clima y otros tipos de daño con este conjunto de mezclilla.
mechanicalParts,items,Item,KeyTrunk FrNone GrNone KgNone SpNone,Mechanical Parts,,,,
mechanicalPartsDesc,items,Item,KeyTrunk FrNone GrNone KgNone SpNone,"Small parts like sprockets, nuts and bolts.",,,,
silverNugget,items,Item,,Silver Nugget,,Silbernugget,,
goldNugget,items,Item,,Gold Nugget,,Goldnugget,,
rawDiamond,items,Item,,Raw Diamond,,Rohdiamant,,
rareOresGroupDesc,items,Item,,When mining you will occasionally find rare metals and ores. Surely they are worth something to someone.,,Untertage findest du manchmal auch seltene Erze. Bestimmt sind diese für irgendjemanden etwas wert.,,
tshirtZUWhite,items,Clothes,,White Football Jersey,,,,
tshirtZUWhiteDesc,items,Clothes,,Not even the zombie apocalypse can stop you from rooting for the boys. Go team!,,,,
footballHelmetZU,items,Clothes,,ZU Football Helmet,,,,
cowboyBootsBrown,items,Clothes,,Cowboy Boots,,,,
cowboyBootsBlack,items,Clothes,,Black Cowboy Boots,,,,
nailgunSchematic,items,Book,,Nailgun Schematic,,,,
nailgunSchematicDesc,items,Book,,Learn how to repair and assemble nailguns by reading this schematic.,,,,
overalls,items,Clothes,,Overalls,,Overall,,
megaCrush,items,Food,,Mega Crush,,,,
megaCrushDesc,items,Food,,Crush your enemies and your thirst with Mega Crush! It's got electrolytes!,,,,
oldCash,items,Item,KeyTrunk,Old Cash,,,,
oldCashDesc,items,Item,KeyTrunk,This used to be legal tender. Now it is mostly valued for being made of paper.,,,,
snowberryPlant,items,Farming,KeyTrunk,Snowberry,,,,
snowberryPlantDesc,items,Farming,KeyTrunk,Snowberries can easily be mistaken for blueberries but are only borderline edible.,,,,
snowberryExtract,items,Item,KeyTrunk,Snowberry Extract,,,,
snowberryExtractDesc,items,Item,KeyTrunk,Even it's side effects have side effects. May be useful in smaller doses.,,,,
snowberryJuice,items,Food,KeyTrunk,Snowberry Juice,,,,
snowberryJuiceDesc,items,Food,KeyTrunk,This drink helps you survive cold environments but should not be overused.,,,,
beerBook,items,Book,KeyTrunk FrNone GrNone KgNone SpNone,Tasting And Brewing,,,,
beerBookDesc,items,Book,KeyTrunk FrNone GrNone KgNone SpNone,Read this book to learn how to grow hops and brew beer.,,,,
dirtFragment,items,Item,KeyTrunk FrNone GrNone KgNone SpNone,Dirt Fragment,,,,
dirtFragmentDesc,items,Item,KeyTrunk FrNone GrNone KgNone SpNone,Does not sound very exciting but it might have something to do with farming.,,,,
snowBall,items,Item,KeyTrunk FrNone GrNone KgNone SpNone,Snowball,,,,
snowBallDesc,items,Item,KeyTrunk FrNone GrNone KgNone SpNone,"You know what to do! Turn it into first rate drinking water over a campfire, of course.",,,,
fertilizer,items,Item,KeyTrunk FrNone GrNone KgNone SpNone,Fertilizer,,,,
fertilizerDesc,items,Item,KeyTrunk FrNone GrNone KgNone SpNone,Fertilizer is made in a beaker or concrete mixer. Use a gardening hoe to fertilize your farmland and increase the yield of your crops.,,,,
electricParts,items,Item,KeyTrunk FrNone GrNone KgNone SpNone,Electrical Parts,,,,
electricPartsDesc,items,Item,KeyTrunk FrNone GrNone KgNone SpNone,"Wires, switches, screw joints...",,,,
electronicParts,items,Item,KeyTrunk FrNone GrNone KgNone SpNone,Electronic Components,,,,
electronicPartsDesc,items,Item,KeyTrunk FrNone GrNone KgNone SpNone,"Resistors, capacitors, the odd microchip or bits of circuit boards...",,,,
steelPolish,items,Item,KeyTrunk FrNone GrNone KgNone SpNone,Reinforced Steel Upgrade,,,,
steelPolishDesc,items,Item,KeyTrunk FrNone GrNone KgNone SpNone,This is used to further upgrade steel walls and increasing explosion resistence.,,,,
shotgunCasingH,items,Item,,12x70 Casing,,
shotgunCasingHDesc,items,Item,,Bullet casings can be crafted at the forge.,,
rifleCasing,items,Item,,Rifle Casing,,
rifleCasingDesc,items,Item,,Bullet casings can be crafted at the forge.,,
mapleSeedPocket,items,Item,,Maple Seed Pocket,,
pineSeedPocket,items,Item,,Pine Seed Pocket,,
cactusB0Seed,items,Item,,Cactus Seed,,
cactusL0Seed,items,Item,,Cactus Seed,,
wigDreadsWhite,items,Item,,Wig Dreads,,
wigDreadsBlack,items,Item,,Wig Dreads,,
wigDreadsRed,items,Item,,Wig Dreads,,
wigAfroWhite,items,Item,,Wig Afro,,
wigAfroBlack,items,Item,,Wig Afro,,
wigAfroRed,items,Item,,Wig Afro,,
scrapSteel,items,Item,,Scrap Steel,,
militaryHelmetLight,items,Item,,Military Helmet With Light,,
swatHelmetLight,items,Item,,SWAT Helmet With Light,,
scrapHelmetLight,items,Item,,Scrap Iron Helmet With Light,,
scrapBrassHelmetLight,items,Item,,Scrap Brass Helmet With Light,,
scrapTitaniumHelmetLight,items,Item,,Scrap Titanium Helmet With Light,,
dismantle10PistolBullets,items,Item,,Pistol Bullets Dismantle,,
dismantle30PistolBullets,items,Item,,Pistol Bullets Dismantle,,
dismantle10RifleBullets,items,Item,,Rifle Bullets Dismantle,,
dismantle30RifleBullets,items,Item,,Rifle Bullets Dismantle,,
dismantle1012x70mm,items,Item,,Shotgun Bullets Dismantle,,
dismantle3012x70mm,items,Item,,Shotgun Bullets Dismantle,,
vinegar,items,Item,,Vinegar,,
cabbageSeed,items,Item,,Cabbage Seed,,
cabbageSeedPocket,items,Item,,Cabbage Seed Pocket,,
sauerkraut,items,Item,,Sauerkraut,,
bronzeArrow,items,Item,,Bronze Arrow,,
bronzeArrowHead,items,Item,,Bronze Arrow Head,,
rottingVegetables,items,Item,,Rotting Vegetables,,
rottingFruits,items,Item,,Rotting Fruits,,




qc_AnimalGroupDesc,items,Animal Challenge Note,,A strange note I discovered in my travels. It's from the Slick Willie Clan.,,
qc_buythefarm,items,Animal Challenge Note,,Buy the Farm Challenge,,
qc_dontfeedthebears,items,Animal Challenge Note,,Don't Feed the Bears Challenge,,
qc_killthewabbit,items,Animal Challenge Note,,Kill The Wabbit Challenge,,
qc_nailsomechicks,items,Animal Challenge Note,,Nail Some Chicks Challenge,,
qc_stagparty,items,Animal Challenge Note,,Stag Party Challenge,,
qc_thatlldopig,items,Animal Challenge Note,,That'll Do Pig Challenge,,
q_basicSurvival,items,Item Quest Note,,Basic Survival Quest Note,,
q_basicSurvivalDesc,items,Item Quest Note,,A mysterious note from a stranger. I don't know how I got it.,,
qt_claude,items,Treasure Map ,,Claude's Treasure Map,,
qt_desc,items,Treasure Map ,,A ragged old treasure map I found with some scribbling on it.,,
qt_jennifer,items,Treasure Map ,,Jennifer's Treasure Map,,
qt_nickole,items,Treasure Map ,,Nickole's Treasure Map,,
qt_raphael,items,Treasure Map ,,Raphael's Treasure Map,,
qt_sarah,items,Treasure Map ,,Sarah's Treasure Map,,
qt_stephan,items,Treasure Map ,,Stephan's Treasure Map,,
qt_taylor,items,Treasure Map ,,Taylor's Treasure Map,,
qc_copanattitude,items,Zombie Challenge Note,,Cop an Attitude Challenge,,
qc_dogdaysareover,items,Zombie Challenge Note,,The Dog Days Are Over Challenge,,
qc_drunkanddisorderly,items,Zombie Challenge Note,,Drunk and Disorderly Challenge,,
qc_imalumberjackandimokay,items,Zombie Challenge Note,,I'm a Lumberjack & I'm Okay Challenge,,
qc_itsbitsyspider,items,Zombie Challenge Note,,Itsy Bitsy Spider Challenge,,
qc_ladykiller,items,Zombie Challenge Note,,Lady Killer Challenge,,
qc_maneater,items,Zombie Challenge Note,,Man Eater Challenge,,
qc_nurseyoubacktohealth,items,Zombie Challenge Note,,Nurse You Back To Health Challenge,,
qc_silenceofthelambs,items,Zombie Challenge Note,,Silence of the Lambs,,
qc_yournothingspecial,items,Zombie Challenge Note,,You're Nothing Special,,
qc_ZombieGroupDesc,items,Zombie Challenge Note,,A strange note I found while looting. It's from the Crazy Jake Clan.,,
survivorNote,items,Item,,"7DaysFan 'Записка Выжившего'",,
survivorNote1,items,Item,,"Пятый день после падения державы. Мы пока держимся. \n Я придумал как обезопасить нас во время вылазок: \n любые сильные запахи привлекают мертвецов, поэтому нужно \n класть все пахнущие вещи в пакеты, это уже не раз себя оправдывало, \n а пакеты есть почти в каждой куче мусора...",,
survivorNote2,items,Item,,"Бур и бензопилу можно починить оружейным рем.набором, \n немного повысить состояние с помощью масла,\n также бур можно починить с помощью 'Auger Blade',\n а бензопилу с помощью 'Chainsaw Blade'",,
survivorNote3,items,Item,,"Порой по ночам очень темно, я вспомнил \n как делать источник света: взять пласт жира, \n варить на медленном огне в кастрюле, вылить массу в банку \n и вставить фитиль: подойдет любая тряпка или что-нибудь неплохо \n горящее, подождать немного, и готова свеча.",,
survivorNote4,items,Item,,"Очищать воду можно не только кипячением,\n но и специальными таблетками  'AquaBriz' и 'Aquamira'",,
survivorNote5,items,Item,,"Не стоит пренебрегать средствами личной гигиены, не смотря \n на то что настал апокалипсис. От вас будет дурно пахнуть, на этот запах как \n на мед будут слетаться монстры...",,
survivorNote6,items,Item,,"Если вы нашли огнестрельное оружие и патроны к нему - не \n спешите их тратить. Убивайте зомби по-старинке, 'руками'.\n Огнестрел используйте только в крайних случаях.",,
survivorNote7,items,Item,,"Из пары палок и веревки получится неплохой лук, а из пары \n досок и трубы - настоящий мушкет...",,
survivorNote8,items,Item,,"Чем больше зомби полегло у твоей стены, тем проще \n монстрам будет ее преодолеть! Не забывай убирать трупы после жаркой ночи!",,
survivorNote9,items,Item,,"Мины и колья могут продлить тебе жизнь, \n только не забывай где установил мины.",,
survivorNote10,items,Item,,"Мебель не только украшает жилище, но также подходит для баррикадирования проемов..",,
survivorNote11,items,Item,,"Видишь воон того жирного зомби-полицейского? Он не только блюет \n растворяющей жижей, но и взрывается ядовитым дождем, \n не подходи к нему!",,
survivorNote12,items,Item,,"Часы тикают. Бери нож в зубы и вперед, на промысел! \n Не теряй ни секунды, ведь потом ты будешь об этом жалеть...",,
survivorNote13,items,Item,,"Чем больше ты знаешь - тем проще тебе живется, не ленись \n иногда почитать мои записки по выживанию, \n возможно это спасет тебе жизнь.",,
survivorNote14,items,Item,,"Тебе нужно оружие? Иди в город. Тебе нужны медикаменты? Иди в город! \n Помни, что в городах опасно, но это окупится, если ты там не умрешь...",,
survivorNote15,items,Item,,"Лучшая пища - приготовленная тобой. Охоться, выращивай овощи. \n Готовке есть место и в постапокалипсисе, не все же консервы жрать...",,
survivorNote16,items,Item,,"Будь осторожен при выборе ствола. Чем мощьнее \n пушка тем больше шума, чем больше шума тем больше тварей...",,
survivorNote17,items,Item,,"Огонь дает тепло и уют, горячую еду и питье. А также он \n привлекает внимание. Перед тем, как развести костер проверь, \n что ты выбрал нужное место и время...",,
survivorNote18,items,Item,,"Когда эпидемия только началась, военные думали, что им \n по силам остановить мертвецов. Они навезли в округу кучу оружия. \n Проверяй каждый контейнер. Каждый ящик. Каждый покет мусора. \n И может тебе повезет...",,
survivorNote19,items,Item,,"Целься в голову, так этих тварей намного проще убить...",,
survivorNote20,items,Item,,"Антибиотики в наше время в большом дефиците, не так ли? \n Не забывай: травяные антибиотики лечат от вирусов, а обычные от инфекции.",,

survivorHint,items,Item,,"7DaysFan 'Подсказка Выжившего'",,
survivorHint1,items,Item,,"Если ты хочешь собрать березовый сок, возьми с собой \n стеклянные банки, штук 5 минимум, и каменный топорик, находишь березу, \n делаешь надрез топориком (ПКМ), подожди немного и можешь собирать сок",,
survivorHint2,items,Item,,"Если хочешь построить свою птицеферму,\n создай гнездо (Bird's Nest), возьми кукурузную муку (Corn Flour) и покорми мукой гнездо (ЛКМ).\n Через час ты получишь яйца и перья",,
survivorHint3,items,Item,,"Если ты до апокалипсиса был заядлым пчеловодом и скучаешь по этому делу, \n знай, что тебе ничто не мешает стать им вновь! Создай улей (Hornet's Hive), \n берем в руки 10 хризантем(Chrysanthemum Flower) и кладем их в улей (ПКМ)и через 240 минут у тебя будет домашний мед",,
survivorHint4,items,Item,,"Ты можешь стать настоящим фермером, для этого тебе понадобиться найти детеныша \n кролика или свиньи, устроить их в отведенном месте, создать комбикорм (Feedstuff) \n и покормить зверюшку (ПКМ)",,
survivorHint5,items,Item,,"Чтобы получить бронзу\ствль\латунь\титан, тебе придется сделать тигель (Melting_Pot) и засунуть его в печь для переплавки",,

survivorRecipies,items,Item,,"7DaysFan 'Рецепты Выжившего'",,
survivorRecipies1,items,Item,,"Я нашел хорошую замену моему любимому черному хлебу, \n который сейчас очень трудно достать - кукурузный хлеб (Corn Bread). \n Вот его рецепт: для начала нужно приготовить тесто (Corn Dough for Baking), \n кладешь его в кастрюлю (CookingPot) и ставишь на огонь, \n ждешь пока приготовится и готово, питательно и удобно в походе.",,
survivorRecipies2,items,Item,,"Недавно в кондитерском магазине наткнулся на книгу рецептов, \n вырвал пару страниц с интересными рецептами, тащить всю книгу не вижу смысла, \n вот рецепт черничного пирога (Blueberry Pie): для начала нужно \n замесить тесто (Corn Dough for Baking), затем взять чернику (blueberries) \n положить в кастрюлю (CookingPot), и поставить ее на огонь. \n Ждем пока тесто приобретет хрустящую корочку и готово, \n очень калорийная пища.",,
survivorRecipies3,items,Item,,"Нельзя есть сырые яйца, я это усвоил после первого попавшегося \n мне птичьего гнезда, меня тогда знатно вывернуло... Поэтому теперь я их варю. \n Вареные яйца (Egg Boiled) могут быть приготовлены в банке или консерве \n с водой на костре с палкой (stick), кастрюлей (Cooking Pot) \n или решеткой (CookingGrill). За неименеем более калорийной пищи \n поможет продержаться, на вкус весьма неплохо..",,
survivorRecipies4,items,Item,,"Если тебе понадобился заплесневелый хлеб, для лекарств или наживки, \n или еще бог знает чего, тебе может пригодиться этот рецептик: берешь хлеб (СornBread) \n и грязную воду из ближайшего водоема (BottledRiverWater), можно набрать \n воду и консервной банкой (CanBoiledWater) и ставишь в кастрюлю (Cooking Pot) на огонь. \n Так можно получить заплесневелый хлеб.",,
survivorRecipies5,items,Item,,"Если ты хочешь получить соль (salt) то вот что тебе нужно: \n сено (hayBale), гравий (gravel) и уголь (coal). \n Все это кладешь в кастрюлю, а ее ставишь на огонь.",,
survivorRecipies6,items,Item,,"Чтобы получить уголь (coal), тебе достаточно взять доски (wood) \n и закинуть их в огонь, но не забудь решетку (Cooking Grill), \n без нее у тебя получится лишь пепел...",,
survivorRecipies7,items,Item,,"Овощное рагу, хоть в нем и нет мяса, весьма питательно, вот его рецепт: \n вода (bottledWater) наливается в миску (bowl) и в нее кладутся картошка (potato) и кукуруза (corn) \n все это кладешь в кастрюлю (Cooking Pot) и ставишь ее на огонь. \n Скоро сможешь отведать это превосходное блюдо.",,
survivorRecipies8,items,Item,,"Знаешь как я любил завтракать до апокалипсиса? Яичница с беконом (Bacon And Eggs)! \n Уверен что ты тоже помнишь этот вкус. Сейчас я поделюсь с тобой рецептом этого простого, \n но очень вкусного блюда: берешь яйцо (egg) и свинину (pork) и кладешь их на сковороду (Pan), \n обжаривать на твое усмотрение, лично я люблю обжаривать до золотистой корочки, \n приятного аппетита!",,
survivorRecipies9,items,Item,,"Чтобы законсервировать мясо или рыбу, тебе понадобится следующие ингридиенты: \n мясо (неожиданно, да?), пустая банка (canEmpty), бутылка с водой (bottledWater) \n и нитрат калия (potassiumNitratePowder), все это кладешь в кастрюлю (Cooking Pot) \n и на огонь, храниться будет долго.",,
survivorRecipies10,items,Item,,"Любишь супы? А почему бы не приготовить? Суп (fishSoup) делается очень просто, \n тебе понадобится рыба (любая), вода (bottledWater), картошка (potato) и миска (bowl), \n все это в кастрюлю, а ее на огонь. Уха получится на славу!",,
survivorRecipies11,items,Item,,"Из черники можно сделать очень вкусный компот (blueberriesCompote), \n тебе понадобятся следующие ингредиенты: вода (bottledWater), \n черника (blueberries) и сахар (Sugar), ингредиенты в кастрюлю, \n и на огонь. Очень освежающий напиток!",,
survivorRecipies12,items,Item,,"Если у тебя бурчит живот, а за стеной бродит зомби, \n значит твоя жизнь в опасности, не стоило есть то протухшее мясо! \n Тут на помощь придет активированный уголь! Вот как его приготовить: \n берешь уголь (coal), кукурузную муку (cornFlour) и бутылку с водой (bottledWater), \n на огонь в мензурке (Beaker) или наборе химика (chemistBeakersKit). Живот пройдет и тебе полегчает!",,
survivorRecipies13,items,Item,,"Хорошая мазь (Salve) поможет твоим ранам быстрее затянуться, \n вот рецепт, который когда-то мне передала моя бабушка: \n тебе понадобятся крем алое (aloeCream), черника (blueberries), \n кусок жира (tallow) и мед (foodHoney) все это в кастрюлю, а ее на огонь, \n мазь очень действенна.",,
survivorRecipies14,items,Item,,"Чтобы сделать сахар (Sugar), тебе понадобится кукуруза (corn) или черника (blueberries), \n кладешь это в кастрюлю, на огонь. Так можно получить сахар",,
